Date,Revenue,Cost Revenue,Gross Profit,MAUs,ARPU,Sales and Marketing Cost,Research and Development Cost,Genreal and Adminstraive Cost,Type,Users,ARPMAU
31-03-2023,2713,1937,776,210,4.32,0,0,0,Premium,628009259.3,12.91904762
31-12-2022,2717,1939,778,205,4.55,0,0,0,Premium,597142857.1,13.25365854
30-09-2022,2651,1908,743,195,4.63,0,0,0,Premium,572570194.4,13.59487179
30-06-2022,2504,1804,700,188,4.54,0,0,0,Premium,551541850.2,13.31914894
31-03-2022,2379,1704,675,182,4.38,0,0,0,Premium,543150684.9,13.07142857
31-12-2021,2295,1625,670,180,4.4,0,0,0,Premium,521590909.1,12.75
30-09-2021,2178,1545,633,172,4.34,0,0,0,Premium,501843318,12.6627907
30-06-2021,2056,1423,633,165,4.29,0,0,0,Premium,479254079.3,12.46060606
31-03-2021,1931,1393,538,158,4.12,0,0,0,Premium,468689320.4,12.22151899
31-12-2020,1887,1342,545,155,4.26,0,0,0,Premium,442957746.5,12.17419355
30-09-2020,1790,1302,488,144,4.19,0,0,0,Premium,427207637.2,12.43055556
30-06-2020,1758,1263,495,138,4.41,0,0,0,Premium,398639455.8,12.73913043
31-03-2020,1700,1219,481,130,4.42,0,0,0,Premium,384615384.6,13.07692308
31-12-2019,1638,1189,449,124,4.65,0,0,0,Premium,352258064.5,13.20967742
30-09-2019,1561,1142,419,113,4.67,0,0,0,Premium,334261242,13.81415929
30-06-2019,1502,1089,413,108,4.86,0,0,0,Premium,309053497.9,13.90740741
31-03-2019,1385,1023,362,100,4.71,0,0,0,Premium,294055201.7,13.85
31-12-2018,1320,959,361,96,4.89,0,0,0,Premium,269938650.3,13.75
30-09-2018,1210,894,316,87,4.73,0,0,0,Premium,255813953.5,13.90804598
30-06-2018,1150,841,309,83,4.89,0,0,0,Premium,235173824.1,13.85542169
31-03-2018,1037,767,270,75,4.72,0,0,0,Premium,219703389.8,13.82666667
31-12-2017,1018,761,257,71,5.24,0,0,0,Premium,194274809.2,14.33802817
30-09-2017,923,711,212,62,5.06,0,0,0,Premium,182411067.2,14.88709677
30-06-2017,904,686,218,59,5.53,0,0,0,Premium,163471971.1,15.3220339
31-03-2017,828,710,118,52,5.46,0,0,0,Premium,151648351.6,15.92307692
31-03-2023,329,339,-10,317,0,0,0,0,Ad,0,1.03785489
31-12-2022,449,426,23,295,0,0,0,0,Ad,0,1.522033898
30-09-2022,385,378,7,273,0,0,0,0,Ad,0,1.41025641
30-06-2022,360,356,4,265,0,0,0,0,Ad,0,1.358490566
31-03-2022,282,286,-4,252,0,0,0,0,Ad,0,1.119047619
31-12-2021,394,352,42,236,0,0,0,0,Ad,0,1.669491525
30-09-2021,323,288,35,220,0,0,0,0,Ad,0,1.468181818
30-06-2021,275,245,30,210,0,0,0,0,Ad,0,1.30952381
31-03-2021,216,206,10,208,0,0,0,0,Ad,0,1.038461538
31-12-2020,281,251,30,199,0,0,0,0,Ad,0,1.412060302
30-09-2020,185,184,1,185,0,0,0,0,Ad,0,1
30-06-2020,131,147,-16,170,0,0,0,0,Ad,0,0.770588235
31-03-2020,148,157,-9,163,0,0,0,0,Ad,0,0.90797546
31-12-2019,217,192,25,153,0,0,0,0,Ad,0,1.418300654
30-09-2019,170,148,22,141,0,0,0,0,Ad,0,1.205673759
30-06-2019,165,144,21,129,0,0,0,0,Ad,0,1.279069767
31-03-2019,126,115,11,123,0,0,0,0,Ad,0,1.024390244
31-12-2018,175,147,28,116,0,0,0,0,Ad,0,1.50862069
30-09-2018,142,116,26,109,0,0,0,0,Ad,0,1.302752294
30-06-2018,123,103,20,101,0,0,0,0,Ad,0,1.217821782
31-03-2018,102,89,13,99,0,0,0,0,Ad,0,1.03030303
31-12-2017,130,106,24,93,0,0,0,0,Ad,0,1.397849462
30-09-2017,109,91,18,91,0,0,0,0,Ad,0,1.197802198
30-06-2017,103,89,14,83,0,0,0,0,Ad,0,1.240963855
31-03-2017,74,87,-13,82,0,0,0,0,Ad,0,0.902439024
31-03-2023,3042,2276,776,515,0,347,435,140,Total,0,5.906796117
31-12-2022,3166,2365,801,489,0,453,415,164,Total,0,6.474437628
30-09-2022,3036,2286,750,456,0,432,386,160,Total,0,6.657894737
30-06-2022,2864,2160,704,433,0,391,336,171,Total,0,6.614318707
31-03-2022,2661,1990,671,422,0,296,250,131,Total,0,6.305687204
31-12-2021,2689,1977,712,406,0,340,253,126,Total,0,6.623152709
30-09-2021,2501,1833,668,381,0,280,208,105,Total,0,6.564304462
30-06-2021,2331,1668,663,365,0,279,255,117,Total,0,6.38630137
31-03-2021,2147,1599,548,356,0,236,196,102,Total,0,6.030898876
31-12-2020,2168,1593,575,345,0,294,232,118,Total,0,6.284057971
30-09-2020,1975,1486,489,320,0,256,176,97,Total,0,6.171875
30-06-2020,1889,1410,479,299,0,248,267,131,Total,0,6.317725753
31-03-2020,1848,1376,472,286,0,231,162,96,Total,0,6.461538462
31-12-2019,1855,1381,474,271,0,276,173,102,Total,0,6.84501845
30-09-2019,1731,1290,441,248,0,178,136,73,Total,0,6.97983871
30-06-2019,1667,1233,434,232,0,200,151,86,Total,0,7.185344828
31-03-2019,1511,1138,373,217,0,172,155,93,Total,0,6.963133641
31-12-2018,1495,1096,399,207,0,163,100,42,Total,0,7.222222222
30-09-2018,1352,1010,342,191,0,146,135,67,Total,0,7.078534031
30-06-2018,1273,944,329,180,0,173,143,103,Total,0,7.072222222
31-03-2018,1139,856,283,170,0,138,115,71,Total,0,6.7
31-12-2017,1449,867,582,160,0,173,123,73,Total,0,9.05625
30-09-2017,1032,802,230,150,0,138,98,67,Total,0,6.88
30-06-2017,1007,775,232,138,0,146,95,70,Total,0,7.297101449
31-03-2017,902,797,105,131,0,110,80,54,Total,0,6.885496183
